"Ref_No","Duplicate_of","PMID","Title","Authors","Citation","First Author","Journal/Book","Publication Year","Create Date","PMCID","NIHMS ID","DOI"
"1","","38572751","Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries.","Bray F, Laversanne M, Sung H, Ferlay J, Siegel RL, Soerjomataram I, Jemal A","CA Cancer J Clin. 2024;74(3):229-263.","Bray F","CA: a cancer journal for clinicians","2024","2024/05/09","","","10.3322/caac.21834"
"2","","36311374","Cancer-related psychosocial challenges.","Wang Y, Feng W","Gen Psychiatr. 2022;35(5):e100871.","Wang Y","General psychiatry","2022","2024/09/05","PMC9540834","","10.1136/gpsych-2022-100871"
"3","","36610333","The facets of psychopathology in patients with cancer: Cross-sectional and longitudinal network analyses.","Murri MB, Caruso R, Christensen AP, Folesani F, Nanni MG, Grassi L","J Psychosom Res. 2023 Feb;165:111139.","Murri MB","Journal of psychosomatic research","2023","2023/01/31","","","10.1016/j.jpsychores.2022.111139"
"4","","","","","","","","","","","",""
"5","","31610923","[Intervention focused on resources to reduce anxiety and depression disorders in cancer patients: A pilot study].","Lantheaume S, Montagne M, Shankland R","Encephale. 2020 Feb;46(1):13-22.","Lantheaume S","L'Encephale","2020","2021/01/01","","","10.1016/j.encep.2019.07.005"
"6","","11392865","Positive psychology. An introduction.","Seligman ME, Csikszentmihalyi M","Am Psychol. 2000 Jan;55(1):5-14.","Seligman ME","The American psychologist","2000","2001/07/05","","","10.1037//0003-066x.55.1.5"
"7","","","","","","","","","","","",""
"8","","","","","","","","","","","",""
"9","","","","","","","","","","","",""
"10","","","","","","","","","","","",""
"11","","","","","","","","","","","",""
"12","","39348716","Characterizing Psychological Resources and Resilience in Patients With Bladder Cancer: Associations With Frailty and Quality of Life.","Petersen E, Holt S, Browning A, Cavanaugh D, Jannat S, Wright J, Gore J, Schade G, Reed M, Garcia J, Bentov I, Master V, Berry D, Fintelmann FJ, Marquardt JP, O'Malley R, Psutka SP","J Urol. 2025 Jan;213(1):40-51.","Petersen E","The Journal of urology","2025","2024/12/10","","","10.1097/JU.0000000000004257"
"13","","28591864","Optimism, pessimism and self-efficacy in female cancer patients.","Thieme M, Einenkel J, Zenger M, Hinz A","Jpn J Clin Oncol. 2017 Sep 01;47(9):849-855.","Thieme M","Japanese journal of clinical oncology","2017","2017/11/30","","","10.1093/jjco/hyx079"
"14","","35783766","The Correlation Between Quality of Life and Positive Psychological Resources in Cancer Patients: A Meta-Analysis.","Zhao X, Tong S, Yang Y","Front Psychol. 2022;13:883157.","Zhao X","Frontiers in psychology","2022","2024/10/05","PMC9245894","","10.3389/fpsyg.2022.883157"
"15","","33781993","PRISMA 2020 explanation and elaboration: updated guidance and exemplars for reporting systematic reviews.","Page MJ, Moher D, Bossuyt PM, Boutron I, Hoffmann TC, Mulrow CD, Shamseer L, Tetzlaff JM, Akl EA, Brennan SE, Chou R, Glanville J, Grimshaw JM, Hróbjartsson A, Lalu MM, Li T, Loder EW, Mayo-Wilson E, McDonald S, McGuinness LA, Stewart LA, Thomas J, Tricco AC, Welch VA, Whiting P, McKenzie JE","BMJ. 2021 Mar 29;372:n160.","Page MJ","BMJ (Clinical research ed.)","2021","2021/04/06","PMC8005925","","10.1136/bmj.n160"
